Section,Group,Treatment,mouse name,countable,CFU,volume plated (mL),CFU per Volume,dilution,Conc CFU per volume (mL)
4,B,Y,,yes,48,0.1,480,1.00E+05,4.80E+07
4,C,Y,,yes,44,0.1,440,1.00E+05,4.40E+07
4,C,Y,,yes,47,0.1,470,1.00E+05,4.70E+07
4,C,Y,,yes,77,0.1,770,1.00E+05,7.70E+07
4,D,Y,,yes,43,0.1,430,1.00E+05,4.30E+07
4,D,Y,,yes,59,0.1,590,1.00E+05,5.90E+07
4,D,Y,,yes,35,0.1,350,1.00E+05,3.50E+07
4,E,Y,,yes,71,0.1,710,1.00E+05,7.10E+07
4,E,Y,,yes,45,0.1,450,1.00E+05,4.50E+07
4,E,Y,,yes,66,0.1,660,1.00E+05,6.60E+07
4,F,Y,,yes,66,0.1,660,1.00E+05,6.60E+07
4,F,Y,,yes,76,0.1,760,1.00E+05,7.60E+07
4,F,Y,,yes,50,0.1,500,1.00E+05,5.00E+07
4,G,Y,,yes,44,0.1,440,1.00E+05,4.40E+07
4,G,Y,,yes,46,0.1,460,1.00E+05,4.60E+07
4,G,Y,,yes,41,0.1,410,1.00E+05,4.10E+07
4,H,Y,,yes,52,0.1,520,1.00E+05,5.20E+07
4,H,Y,,yes,42,0.1,420,1.00E+05,4.20E+07
4,H,Y,,yes,62,0.1,620,1.00E+05,6.20E+07
4,I,Y,,yes,35,0.1,350,1.00E+05,3.50E+07
4,I,Y,,yes,49,0.1,490,1.00E+05,4.90E+07
4,I,Y,,yes,69,0.1,690,1.00E+05,6.90E+07
4,J,Y,,yes,46,0.1,460,1.00E+05,4.60E+07
4,J,Y,,yes,85,0.1,850,1.00E+05,8.50E+07
4,J,Y,,yes,86,0.1,860,1.00E+05,8.60E+07
5,A,Y,,yes,75,0.1,750,1.00E+05,7.50E+07
5,A,Y,,yes,30,0.1,300,1.00E+05,3.00E+07
5,A,Y,,yes,44,0.1,440,1.00E+05,4.40E+07
5,B,Y,,yes,45,0.1,450,1.00E+05,4.50E+07
5,B,Y,,yes,81,0.1,810,1.00E+05,8.10E+07
5,B,Y,,yes,52,0.1,520,1.00E+05,5.20E+07
5,C,Y,,yes,79,0.1,790,1.00E+05,7.90E+07
5,C,Y,,yes,47,0.1,470,1.00E+05,4.70E+07
5,C,Y,,yes,50,0.1,500,1.00E+05,5.00E+07
5,D,Y,,yes,66,0.1,660,1.00E+05,6.60E+07
5,D,Y,,yes,90,0.1,900,1.00E+05,9.00E+07
5,D,Y,,yes,59,0.1,590,1.00E+05,5.90E+07
5,E,Y,,yes,35,0.1,350,1.00E+05,3.50E+07
5,E,Y,,yes,74,0.1,740,1.00E+05,7.40E+07
5,E,Y,,yes,67,0.1,670,1.00E+05,6.70E+07
5,F,Y,,yes,43,0.1,430,1.00E+05,4.30E+07
5,F,Y,,yes,35,0.1,350,1.00E+05,3.50E+07
5,F,Y,,yes,69,0.1,690,1.00E+05,6.90E+07
5,G,Y,,yes,55,0.1,550,1.00E+05,5.50E+07
5,G,Y,,yes,87,0.1,870,1.00E+05,8.70E+07
5,G,Y,,yes,76,0.1,760,1.00E+05,7.60E+07
5,H,Y,,yes,54,0.1,540,1.00E+05,5.40E+07
5,H,Y,,yes,38,0.1,380,1.00E+05,3.80E+07
5,H,Y,,yes,74,0.1,740,1.00E+05,7.40E+07
5,I,Y,,yes,68,0.1,680,1.00E+05,6.80E+07
5,I,Y,,yes,55,0.1,550,1.00E+05,5.50E+07
5,I,Y,,yes,65,0.1,650,1.00E+05,6.50E+07
5,J,Y,,yes,39,0.1,390,1.00E+05,3.90E+07
5,J,Y,,yes,84,0.1,840,1.00E+05,8.40E+07
5,J,Y,,yes,39,0.1,390,1.00E+05,3.90E+07
1,A,X,,yes,101,0.1,1010,1.00E+04,1.01E+07
1,A,X,,yes,67,0.1,670,1.00E+04,6.70E+06
1,A,X,,yes,106,0.1,1060,1.00E+04,1.06E+07
1,B,X,,yes,92,0.1,920,1.00E+04,9.20E+06
1,B,X,,yes,71,0.1,710,1.00E+04,7.10E+06
1,B,X,,yes,120,0.1,1200,1.00E+04,1.20E+07
1,C,X,,yes,124,0.1,1240,1.00E+04,1.24E+07
1,C,X,,yes,50,0.1,500,1.00E+04,5.00E+06
1,C,X,,yes,142,0.1,1420,1.00E+04,1.42E+07
1,D,X,,yes,147,0.1,1470,1.00E+04,1.47E+07
1,D,X,,yes,85,0.1,850,1.00E+04,8.50E+06
1,D,X,,yes,106,0.1,1060,1.00E+04,1.06E+07
1,E,X,,yes,73,0.1,730,1.00E+04,7.30E+06
1,E,X,,yes,80,0.1,800,1.00E+04,8.00E+06
1,E,X,,yes,64,0.1,640,1.00E+04,6.40E+06
1,F,X,,yes,94,0.1,940,1.00E+04,9.40E+06
1,F,X,,yes,76,0.1,760,1.00E+04,7.60E+06
1,F,X,,yes,119,0.1,1190,1.00E+04,1.19E+07
1,G,X,,yes,113,0.1,1130,1.00E+04,1.13E+07
1,G,X,,yes,60,0.1,600,1.00E+04,6.00E+06
1,G,X,,yes,78,0.1,780,1.00E+04,7.80E+06
1,H,X,,yes,81,0.1,810,1.00E+04,8.10E+06
1,H,X,,yes,97,0.1,970,1.00E+04,9.70E+06
1,H,X,,yes,87,0.1,870,1.00E+04,8.70E+06
1,I,X,,yes,116,0.1,1160,1.00E+04,1.16E+07
1,I,X,,yes,136,0.1,1360,1.00E+04,1.36E+07
1,I,X,,yes,94,0.1,940,1.00E+04,9.40E+06
1,J,X,,yes,105,0.1,1050,1.00E+04,1.05E+07
1,J,X,,yes,92,0.1,920,1.00E+04,9.20E+06
1,J,X,,yes,75,0.1,750,1.00E+04,7.50E+06
2,A,X,,yes,105,0.1,1050,1.00E+04,1.05E+07
2,A,X,,yes,128,0.1,1280,1.00E+04,1.28E+07
2,A,X,,yes,75,0.1,750,1.00E+04,7.50E+06
2,B,X,,yes,65,0.1,650,1.00E+04,6.50E+06
2,B,X,,yes,107,0.1,1070,1.00E+04,1.07E+07
2,B,X,,yes,86,0.1,860,1.00E+04,8.60E+06
2,C,X,,yes,131,0.1,1310,1.00E+04,1.31E+07
2,C,X,,yes,94,0.1,940,1.00E+04,9.40E+06
2,C,X,,yes,129,0.1,1290,1.00E+04,1.29E+07
2,D,X,,yes,138,0.1,1380,1.00E+04,1.38E+07
2,D,X,,yes,72,0.1,720,1.00E+04,7.20E+06
2,D,X,,yes,64,0.1,640,1.00E+04,6.40E+06
2,E,X,,yes,128,0.1,1280,1.00E+04,1.28E+07
2,E,X,,yes,127,0.1,1270,1.00E+04,1.27E+07
2,E,X,,yes,96,0.1,960,1.00E+04,9.60E+06
2,F,X,,yes,132,0.1,1320,1.00E+04,1.32E+07
2,F,X,,yes,102,0.1,1020,1.00E+04,1.02E+07
2,F,X,,yes,57,0.1,570,1.00E+04,5.70E+06
2,G,X,,yes,65,0.1,650,1.00E+04,6.50E+06
2,G,X,,yes,134,0.1,1340,1.00E+04,1.34E+07
2,G,X,,yes,125,0.1,1250,1.00E+04,1.25E+07
2,H,X,,yes,114,0.1,1140,1.00E+04,1.14E+07
2,H,X,,yes,105,0.1,1050,1.00E+04,1.05E+07
2,H,X,,yes,113,0.1,1130,1.00E+04,1.13E+07
2,I,X,,yes,116,0.1,1160,1.00E+04,1.16E+07
